NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN,PROJECT
,,,,,,,,,
,,,KAPASITAS TANKI BBM,JENIS BBM,KONSUMSI BBM / L,,,,
62,DA 4189 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP AMUNTAI ASSESMENT,ASSESMENT,DISTRIBUSI
63,DA 4179 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,KP MARGASARI OPS,OPS ,DISTRIBUSI
64,DA 4180 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP RANTAU ASSESMENT,ASSESMENT,DISTRIBUSI
65,DA 4192 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP BINUANG OPS,OPS ,DISTRIBUSI
66,DA 4193 CC,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BARABAI,ULP BINUANG ASSESMENT,ASSESMENT,DISTRIBUSI
67,DA 4205 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BARABAI,KP LUMPANGI OPS,OPS ,DISTRIBUSI
68,DA 4207 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BARABAI,KP UPAU OPS,OPS ,DISTRIBUSI
69,DA 4209 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BARABAI,KP MUARA UYA OPS,OPS ,DISTRIBUSI
70,DA 4208 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BARABAI,KP HARUAY OPS,OPS ,DISTRIBUSI
71,DA 4198 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BARABAI,KP JUAI OPS,OPS ,DISTRIBUSI
72,DA 4220 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BARABAI,ULP RANTAU OPS URC,OPS ,DISTRIBUSI
73,DA 4215 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BARABAI,KP PENGARON OPS,OPS ,DISTRIBUSI
74,DA 4217 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BARABAI,KP SEI PINANG OPS,OPS ,DISTRIBUSI
75,KT 8349 ZL,Toyota Hilux 2.4G DC 4x4 (Double Cabin),80 Liter,Solar (Dexlite/Pertamina Dex),10 - 12,UL BARABAI,KP HARUAI,OP KP ,DISTRIBUSI
76,KT 8616 ZL,HILUX PICK UP 2.0 HIGH MT TGN1 OR-ATMHKD,55 Liter,Solar,8 - 10,UL BARABAI,,Operasional UL,DISTRIBUSI
77,KT 2331 KX,HONDA CRF 150,"7,2 Liter",Bensin,39 - 42,UL BARABAI,BARABAI KOTA,OP ULP,DISTRIBUSI
78,KT 2339 KX,HONDA SUPRA X 125 ,4 Liter,Bensin,57 - 61,UL BARABAI,TANJUNG,K3,DISTRIBUSI
79,KT 2347 KX,HONDA SUPRA X 125 ,4 Liter,Bensin,57 - 61,UL BARABAI,KANDANGAN,K3,DISTRIBUSI
80,KT 2357 KX,HONDA SUPRA X 125 ,4 Liter,Bensin,57 - 61,UL BARABAI,RANTAU,K3,DISTRIBUSI
63,W 8194 PW,CRANE,Bervariasi (100 - 300+ L),Solar,Bervariasi (Dihitung per jam kerja),UL BARABAI,UL BARABAI,none,DISTRIBUSI
64,W 8089 PW,SKYLIFT,Bervariasi (100+ L),Solar,Bervariasi (Dihitung per jam kerja),UL BARABAI,UL BARABAI,none,DISTRIBUSI
