NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN,PROJECT
,,,,,,,,,
,,,KAPASITAS TANKI BBM / L,JENIS BBM,KONSUMSI BBM / L,,,,
50,DA 1130 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,MARTAPURA,OPERASI ,DISTRIBUSI
51,DA 1135 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,GAMBUT,OPERASI ,DISTRIBUSI
52,DA 1741 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,A YANI,OPERASI ,DISTRIBUSI
53,DA 1742 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,LAMANG,OPERASI ,DISTRIBUSI
54,DA 1745 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,BANJARBARU ,OPERASI ,DISTRIBUSI
55,DA 1746 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,MARTAPURA,OPERASI ,DISTRIBUSI
56,DA 1826 NA ,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,PELAIHARI,OPERASI ,DISTRIBUSI
57,DA 1740 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,MARABAHAN ,OPERASI ,DISTRIBUSI
58,DA 4204 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BANJARMASIN,Banua riam,OPERASI ,DISTRIBUSI
59,DA 4212 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BANJARMASIN,PELAIHARI,OPERASI ,DISTRIBUSI
60,DA 4216 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BANJARMASIN,MARTAPURA,OPERASI ,DISTRIBUSI
61,DA 4200 CC,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL BANJARMASIN,MARABAHAN/BJM ,OPERASI ,DISTRIBUSI
62,DA 3736 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,BANJARBARU,ASSESMENT,DISTRIBUSI
63,DA 3758 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,MARTAPURA,ASSESMENT,DISTRIBUSI
64,DA 3764 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,PELAIHARI,ASSESMENT,DISTRIBUSI
65,DA 3763 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,PELAIHARI,ASSESMENT,DISTRIBUSI
66,DA 3742 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,GAMBUT,ASSESMENT,DISTRIBUSI
67,DA 3783 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,A YANI,ASSESMENT,DISTRIBUSI
68,DA 3782 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,A YANI,OPERASI ,DISTRIBUSI
69,DA 3785 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,LAMANG,ASSESMENT,DISTRIBUSI
70,DA 3776 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,MARABAHAN,ASSESMENT,DISTRIBUSI
71,DA 3735 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,TABUKAN,OPERASI ,DISTRIBUSI
72,DA 3778 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,KURIPAN,OPERASI ,DISTRIBUSI
73,DA 3762 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,TAMBAN,OPERASI ,DISTRIBUSI
74,DA 3773 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,JELAPAT,OPERASI ,DISTRIBUSI
75,DA 3744 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL BANJARMASIN,TABUNGANEN,OPERASI ,DISTRIBUSI
76,DA 8326 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,LAMANG,ROW,DISTRIBUSI
77,DA 8307 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,LAMANG,ROW,DISTRIBUSI
78,DA 1739 NA,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,,OPERASIONAL,DISTRIBUSI
79,DA 1803 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,ND KAL2,OPERASI ,DISTRIBUSI
80,DA 1773 NA,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL BANJARMASIN,A YANI,OPERASI ,DISTRIBUSI
81,DA 4334 CO,Honda Vario 125,"5,5 Liter",Bensin,50 - 52,UL BANJARMASIN,BANJARBARU,ICONNET,BEYOND KWH
82,DA 4352 CO,Honda Vario 125,"5,5 Liter",Bensin,50 - 52,UL BANJARMASIN,BANJARBARU,ICONNET,BEYOND KWH
83,KT2335KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,ULP MARTAPURA,K3,DISTRIBUSI
84,KT2338KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,ULP MARABAHAN,K3,DISTRIBUSI
85,KT 2356 KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,ULP LAMANG,K3,DISTRIBUSI
86,KT2340KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,ULP MARABAHAN,K3,DISTRIBUSI
87,KT 2336 KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,ULP A YANI,K3,DISTRIBUSI
88,KT2343KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,ULP GAMBUT,K3,DISTRIBUSI
89,KT2345KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,ULP PELAIHARI,K3,DISTRIBUSI
90,KT2350KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,ULP BANJARBARU,K3,DISTRIBUSI
91,KT2351KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,UL BJM,K3,DISTRIBUSI
92,KT2342KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,UL BJM,K3,DISTRIBUSI
93,KT2349KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,UL BJM,K3,DISTRIBUSI
94,KT2346KX,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL BANJARMASIN,ULP GAMBUT,K3,DISTRIBUSI
95,KT8622ZL,Suzuki Carry Pickup ,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ULP MARABAHAN,ROW,DISTRIBUSI
96,KT8756ZL,Suzuki Carry Pickup ,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ULP BANJARBARU,ROW,DISTRIBUSI
97,KT8758ZL,Suzuki Carry Pickup ,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ULP PELAIHARI,ROW,DISTRIBUSI
98,KT8759ZL,Suzuki Carry Pickup ,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ULP MARABAHAN,ROW,DISTRIBUSI
99,KT8760ZL,Suzuki Carry Pickup ,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ULP MARABAHAN,ROW,DISTRIBUSI
100,KT8761ZL,Suzuki Carry Pickup ,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ULP PELAIHARI,ROW,DISTRIBUSI
101,KT8762ZL,Suzuki Carry Pickup ,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ULP PELAIHARI,ROW,DISTRIBUSI
102,KT8763ZL,Suzuki Carry Pickup ,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ULP PELAIHARI,ROW,DISTRIBUSI
103,KT8764ZL,Suzuki Carry Pickup ,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ULP PELAIHARI,ROW,DISTRIBUSI
104,KT8768ZL,Suzuki Carry Pickup ,43 Liter,Bensin,11 - 13,UL BANJARMASIN,ULP BANJARBARU,ROW,DISTRIBUSI
105,KT8615ZL,TOYOTA HILUX RANGGA 2.0 STD,55 Liter,Bensin,10 - 12,UL BANJARMASIN,OPERASIONAL UL,UL BJM,DISTRIBUSI
106,KT 8311 ZJ,CRANE,Bervariasi (100 - 300+ L),Solar,Bervariasi (Dihitung per jam kerja),UL BANJARMASIN,UL BANJARMASIN,,DISTRIBUSI
107,W 8196 PW,CRANE,Bervariasi (100 - 300+ L),Solar,Bervariasi (Dihitung per jam kerja),UL BANJARMASIN,UL BANJARMASIN,,DISTRIBUSI
108,W 8086 PW,SKYLIFT,Bervariasi (100+ L),Solar,Bervariasi (Dihitung per jam kerja),UL BANJARMASIN,UL BANJARMASIN,,DISTRIBUSI
